,PER,LOC,ORG,DAT
748, میشل فوکو, شهرستان‌های ایرانشهر شهرهای ایران, پارلمان هلند, دهه ۱۹۲۰
749, توماس هابز, بیت الحکمه بغداد, رود هراز رود هراز, از اواخر قرن هشتم میلادی قرن دوم هجری
750, ماکیاولی شهریار, دانشگاه پاریس, باشگاه والیبال کاله مازندران, سالهای ۴۴۵ تا ۴۴۸ میلادی در روزگار
751, علی‌اکبر دهخدا دکتر محمد معین سید جعفر شهیدی, روسیه آلاسکا کانادا گرینلند لاپلند سوالبارد اقیانوس منجمد شمالی, والیبال کاله, در سال ۱۴۰ هجری
752, ذکاءالملک فروغی, اقیانوس منجمد شمالی, باشگاه ورزشی کاله والیبال کاله, ۲۰ مه ۱۵۰۶
753, ادیب‌الممالک فراهانی ادیب نیشابوری, میدان مغناطیسی میدان مغناطیسی, سپاه پاسداران, در سال ۱۴۷۴
754, سروانتس, آسیا آفریقا آمریکای شمالی آمریکای جنوبی, آکادمی, سال ۱۴۹۸
755, ارسطو کوپرنیک نیوتون, آمریکای جنوبی استرالیا, W3C, دهه ۱۴۷۰ میلادی
756, افلاطون آگوستین دکارت نیچه, نیم‌کره جنوبی, حزب نازی حزب کمونیست آلمان, در سال ۱۸۹۲ سده پنجم
757, دیوید کاپرفیلد, دماغه هورن, حزب کمونیست آلمان, در دهه ۱۴۸۰ میلادی
758, ساموئل ریچاردسون, کانال پاناما, حزب سوسیالیست ملی کارگران آلمان, روز نهم ماه
759, بقراط اریستوفانس افلاطون, دریای گرینلند, حزب نازی حزب نازی, در غروب سوم اوت ۱۴۹۲ سه
760, کوروش صفوی احمد شاملو, کوه یخی, ارتش آلمان جامعه ملل, پنج هفته
761, نیما یوشیج, کوه یخی اقیانوس اطلس, ارتش آلمان نازی, در بیستم سپتامبر
762, ویلیام گیلبرت, حوزه علمیه نجف حرم علی بن ابی‌طالب, ارتش سرخ شرق, دریازده اکتبر ۱۲ اکتبر ۱۴۹۲ پس از ۳۵ روز
763, مایکل فارادی, حوزه‌های علمیه نجف قم مشهد, فولکس‌واگن, در ۴ ژانویه ۱۴۹۳
764, جیمز وات, حوزه‌های علمیه ایران, دانشگاه آزاد اسلامی واحد کرج, در ۲۴ سپتامبر ۱۴۹۳
765, مهندس عمران, حوزه‌های علمیه, دانشگاه آزاد اسلامی واحد کرج دانشگاه آزاد اسلامی واحد کرج دانشگاه آزاد اسلامی, در ۱۰ مارس ۱۴۹۶
766, دیوید پارناس, تحصیلات حوزوی, بسیج دانشجویی, در سال ۱۴۹۸
767, دونالد کنوت, وزارت علوم ، تحقیقات و فناوری ایران تحصیلات حوزوی, دانشگاه آزاد دانشگاه آزاد اسلامی, ۱۵۰۰ میلادی
768, نادرشاه افشار, ایالت سند, باشگاه پژوهشگران جوان, در ۹ مه ۱۵۰۲
769, صلاح‌الدین ایوبی امام غزالی, میدان الکتریکی, دانشگاه آزاد اسلامی واحد کرج دانشگاه آزاد اسلامی واحد کرج, در ۷ نوامبر ۱۵۰۴ میلادی
770, علی بن موسی‌الرضا, موزه بریتانیا, دانشگاه آزاد دانشگاه آزاد کرج, در ۲۰ مه ۱۵۰۶
771, سلطان اسحاق, کیش, دانشکده کشاورزی, در فوریه ۱۴۹۵ میلادی
772, عبدالله بن عمر عمربن خطاب, هند, دانشگاه افسری, چهارده سال
773, وودرو ویلسون, نپال, وزیر دادگستری باواریا, در ۱۵۴۲ میلادی
774, گولیلمو مارکونی, آسیای شرقی, سازمان اطلاعاتی, در سال ۱۵۴۲
775, لئوناردو داوینچی, ایران سریلانکا سوماترا یونان, مجلس عوام رویال داچ شل, قرن هفدهم
776, لوییجی گالوانی, نپال پاکستان افغانستان ایران, وزیر خارجه, از عصر طی دوره‌های مهمی
777, اروین شرودینگر, فلات ارمنستان, حزب محافظه‌کار حکومت متمرکز, دو دوره در اوایل سده هفتم در سده هفتم میلادی
778, فرانسیس فوکویاما, کشور ارمنستان, حزب ناسیونال‌سوسیالیست کارگران آلمان, در طی اواسط دهه هفتاد میلادی
779, نیک باستروم, ترکان سلجوقی ارمنیان, امپراتوری روم امپراتوری روم, در ۱۹۷۹ میلادی
780, فریدریش نیچه, قره قویونلو, مجلس بزرگ میهنی ترکیه, عصر عصر عصر
781, جان دزموند برنال, جمهوری ارمنستان, حزب خلق جمهوری‌خواه ترکیه, یک دوره ۵۰۰۰ سال ۰۰۰ سال
782, جولیان هاکسلی, نخجوان آخالکالاکی, صلیب سرخ جهانی, از ۱۰۰ هزار سال
783, جولیان هاکسلی توماس هابز, استان سیواس استان گوموش‌خانه, امپراتوری عثمانی امپراتوری عثمانی, در سال ۱۹۴۴ ۳۰ هزار سال
784, ماروین مینسکی, دریای سیاه دریای خزر آسیا, نیروی دریایی پادشاهی بریتانیا نیروی دریایی فرانسه, ۱۱ هزار سال
785, نیک باستروم دیوید, کشور محاط در خشکی, حکومت دست‌نشانده, ۷۰۰۰ سال پیش از میلاد
786, سلوکوس یکم, جمهوری ارمنستان سرزمین کوهستانی ارمنستان, نیروی دریایی آلمان, عصر عصر
787, داریوش کبیر, دریاچه سوان, نیروی دریایی سلطنتی, ۵۰۰ سال
788, شاپور اول ساسانی, استان وایوتس‌جور, نیروی هوایی آلمان, بعد از ۲۰۰۰ سال
789, دقیانوس, فلات ایران منطقه گرمسیری فلات ارمنستان, ارتش بریتانیا ارتش آمریکا ارتش شوروی فرقه دموکرات, هزاره چهارم و سوم
790, تیمور, ایروان گیومری وانادزور, ارتش آلمان نازی ارتش آلمان, در نیمه اول هزاره سوم
791, میرزا تقی‌خان امیرکبیر به به, حوزه انتخابیه, نیروی هوایی آمریکا, در اواخر هزاره سوم
792, ابوعبدالله محمد بن عیسی ماهانی, سرزمین کوهستانی ارمنستان امپراتوری ایران, ارتش سرخ شوروی, در ۴۰۰۰ سال
793, خواجوی کرمانی, نیروگاه هسته‌ای متسامور, نیروی هوایی سلطنتی بریتانیا, در طی دهه هفتاد میلادی
794, عماد فقیه کرمانی, دریاچه سوان قفقاز, میتسوبیشی, در نیمه دوم سده هفتم
795, شاه نعمت‌الله ولی, استان گغارکونیک, لوفت وافه, در سال ۶۰۰
796, علی اطهری کرمانی, جرموک استان وایوتس‌جور یغگنادزور, IBM, در سال ۱۹۵۰
797, فرهاد چهارم, چشمه آب‌گرم, حزب ملی سوسیالیست کارگران آلمان, بیست سال گذشته
798, کلئوپاترا, بال‌های تاتو, ناسیونال سوسیالیست, ماه روز
799, خسرو اول, صومعه تاتو کشور ارمنستان, فرمانده کل هیئت دولت, طلوع در زمان گذشته
800, خسرو دوم, بال‌های تاتو صومعه تاتو, دولت هاشمی رفسنجانی, در دهه ۱۹۸۰ و ۱۹۹۰ میلادی
801, هراکلیوس, پارک ملی جمهوری ارمنستان استان تاووش, دولت هشتم دولت دهم, تاریخ تاریخ
802, داریوش یکم خشایارشا, معبد گارنی, رودخانه کارون, در قرن میلادی
803, داریوش یکم, صومعه گغارد استان کوتایک, خبرگزاری مهر, قرن نوزدهم
804, ابن خردادبه, صومعه گغارد, مجلس شورای اسلامی مجلس شورای اسلامی, در سال ۱۹۳۷ میلادی
805, کوروش بزرگ کوروش دوم, صومعه خور ویراپ استان آرارات ترکیه, وزارت فرهنگ و ارشاد اسلامی وزارت فرهنگ و ارشاد اسلامی مرکز تحقیقاتی وزارت فرهنگ و ارشاد اسلامی, از ۲۴ ساعت
806, شاپور دوم ذوالاکتاف انوشیروان, کلیسای کاتولیک, قوم, از قرن نهم تا قرن چهاردهم میلادی
807, ابوموسی اشعری, کوه آرارات, پژوهشگاه علوم انسانی, از قرن پانزدهم در قرن هفدهم
808, عمار بن یاسر, میدان جمهوری ایروان, کمپانی هند شرقی, در طی قرن شانزدهم
809, ریچارد فرای بنی کعب شیخ خزعل, قره‌باغ, نظام جمهوری اسلامی, قرن عصر
810, شاهنامه فردوسی جلال خالقی مطلق, ترکیه گرجستان نخجوان, دولت شهر, دو قرن
811, بنی طرف, گرجستان, دولت عراق, از سال ۱۸۰۷ میلادی
812, ویلیام ناکس دارسی, سرزمین کوهستانی ارمنستان, بانک جهانی صندوق بین‌المللی پول, ۵۰ سال از سال ۲۰۰۰ میلادی
813, یعقوب لیث رادمان, پانتئون, سازمان غیردولتی, تا قبل از قرن هجدهم
814, یعقوب لیث صفار, جاواختی آخالکالاکی ارزروم, پول رایج واحد پول, در سال ۲۰۱۳ میلادی
815, دکتر محسن ابوالقاسمی یعقوب لیث صفار, شهرستان فریدن, شرکت دولتی سازمان هواپیمایی کشوری, در سال ۱۸۶۴ میلادی
816, آقامحمدخان قاجار, تیگراناکرت آرتاشات, فرمانده کل قوا فرمانده کل, ایام در سال ۱۹۰۳ میلادی
817, احمدشاه قاجار رضاشاه پهلوی, ایران یونان, اداره امور عمومی, در قرن نوزدهم فصل سال
818, شاه‌عباس بزرگ, همه جا همه جا, فرهنگستان زبان و ادب پارسی, سال ۱۹۳۹ میلادی
819, شاه‌عباس یکم, تیسفون, بانک شهر, تا سال ۱۹۰۱ در سال
820, شاه تهماسب دوم, دژ وان ملازگرد, خلفای راشدین, دهه
821, محمدحسن خان قاجار نادرشاه افشار, خاک چال, دایملر آ گ پورشه, در دهه ۱۹۸۰
